Language,Code
English,eng_Latn
Indonesian,ind_Latn
Chinese (Simplified),zho_Hans
Chinese (Traditional),zho_Hant
Arabic,arb_Arab
Hindi,hin_Deva
Thai,tha_Thai
Sundanese,sun_Latn
Japanese,jpn_Jpan
Korean,kor_Kore
French,fra_Latn
German,deu_Latn
Spanish,spa_Latn
Russian,rus_Cyrl
Vietnamese,vie_Latn
Javanese,jav_Latn
